Message Type,#,ASN.1 C Access Path,C Typedef,Value / Range,ROS Field After Bridge,Transform,Bridge Status,Source File
,,,,,,,,
CPM (bridge EXISTS),1,message->cpm.cpmParameters.managementContainer.referencePosition.latitude,Latitude_t (long),-900000000..900000001 (1/10 micro-deg),PredictedObject.kinematics.initial_pose_with_covariance.pose.position.x,/ 1e7 → GeographicLib::UTMUPS::Forward() → MGRS,EXISTS,cpm_application.cpp:114 → v2x_node.cpp:125
CPM (bridge EXISTS),2,message->cpm.cpmParameters.managementContainer.referencePosition.longitude,Longitude_t (long),-1800000000..1800000001,PredictedObject.kinematics.initial_pose_with_covariance.pose.position.y,/ 1e7 → GeographicLib::UTMUPS::Forward() → MGRS,EXISTS,cpm_application.cpp:115 → v2x_node.cpp:126
CPM (bridge EXISTS),3,...stationDataContainer->choice.originatingVehicleContainer.heading.headingValue,ITS_Container_HeadingValue_t (long),0-3600 (0.1 deg) 3601=unavail,PredictedObject.kinematics.initial_pose_with_covariance.pose.orientation.{x;y;z;w},(90 - heading/10) * PI/180 → tf2::Quaternion::setRPY(),EXISTS,cpm_application.cpp:132-134 → v2x_node.cpp:86-92
CPM (bridge EXISTS),4,...perceivedObjectContainer->list.array[i]->xDistance.value,DistanceValue_t (long),centimeters,PredictedObject.kinematics.initial_pose_with_covariance.pose.position.x,/ 100 → rotate by sender heading → + sender MGRS x,EXISTS,cpm_application.cpp:154-158 → v2x_node.cpp:125
CPM (bridge EXISTS),5,...perceivedObjectContainer->list.array[i]->yDistance.value,DistanceValue_t (long),centimeters,PredictedObject.kinematics.initial_pose_with_covariance.pose.position.y,/ 100 → rotate by sender heading → + sender MGRS y,EXISTS,cpm_application.cpp:155-159 → v2x_node.cpp:126
CPM (bridge EXISTS),6,...perceivedObjectContainer->list.array[i]->planarObjectDimension2->value,ObjectDimension_t (long),0.1m units,PredictedObject.shape.dimensions.x,/ 10.0 → meters,EXISTS,cpm_application.cpp:160 → v2x_node.cpp:121
CPM (bridge EXISTS),7,...perceivedObjectContainer->list.array[i]->planarObjectDimension1->value,ObjectDimension_t (long),0.1m units,PredictedObject.shape.dimensions.y,/ 10.0 → meters,EXISTS,cpm_application.cpp:161 → v2x_node.cpp:122
CPM (bridge EXISTS),8,...perceivedObjectContainer->list.array[i]->verticalObjectDimension->value,ObjectDimension_t (long),0.1m units,PredictedObject.shape.dimensions.z,/ 10.0 → meters,EXISTS,cpm_application.cpp:162 → v2x_node.cpp:123
CPM (bridge EXISTS),9,...perceivedObjectContainer->list.array[i]->yawAngle->value,CartesianAngle (long),0.1 degree units,PredictedObject.kinematics.initial_pose_with_covariance.pose.orientation.{x;y;z;w},(PI * yaw / 10) / 180 → tf2::Quaternion::setRPY(),EXISTS,cpm_application.cpp:164-172 → v2x_node.cpp:129-132
CPM (bridge EXISTS),10,(hardcoded),N/A,N/A,PredictedObject.classification[0].label = CAR,hardcoded ObjectClassification::CAR probability=0.99,EXISTS,v2x_node.cpp:117-118
CPM (bridge EXISTS),11,(hardcoded),N/A,N/A,PredictedObject.shape.type = BOUNDING_BOX,hardcoded,EXISTS,v2x_node.cpp:120
CPM (bridge EXISTS),12,(hardcoded),N/A,N/A,PredictedObject.pose.position.z = 0.1,hardcoded,EXISTS,v2x_node.cpp:127
,,,,,,,,
CAM (NO bridge),1,cam->header.protocolVersion,OrdinalNumber1B_t (long),2,N/A — NO BRIDGE EXISTS,N/A,NO BRIDGE,ETSI-ITS-CDD_ItsPduHeader.h:26
CAM (NO bridge),2,cam->header.messageId,MessageId_t (long),2 = CAM,N/A — NO BRIDGE EXISTS,N/A,NO BRIDGE,ETSI-ITS-CDD_ItsPduHeader.h:27
CAM (NO bridge),3,cam->header.stationId,StationId_t (unsigned long),0-4294967295,N/A — NO BRIDGE EXISTS,N/A,NO BRIDGE,StationId.h:22
CAM (NO bridge),4,cam->cam.generationDeltaTime,ETSI_ITS_CDD_GenerationDeltaTime_t (long),0-65535 ms (modulo 65536),N/A — NO BRIDGE EXISTS,N/A,NO BRIDGE,CamPayload.h:25
CAM (NO bridge),5,cam->cam.camParameters.basicContainer.stationType,ETSI_ITS_CDD_StationType_t (long),0-15 (5=passengerCar 15=RSU),N/A — NO BRIDGE EXISTS,N/A,NO BRIDGE,CAM-PDU-Description_CamParameters.h:30
CAM (NO bridge),6,cam->cam.camParameters.basicContainer.referencePosition.latitude,Latitude_t (long),-900000000..900000001 (1/10 micro-deg),N/A — NO BRIDGE EXISTS,N/A,NO BRIDGE,ETSI-ITS-CDD_ReferencePosition.h
CAM (NO bridge),7,cam->cam.camParameters.basicContainer.referencePosition.longitude,Longitude_t (long),-1800000000..1800000001,N/A — NO BRIDGE EXISTS,N/A,NO BRIDGE,ETSI-ITS-CDD_ReferencePosition.h
CAM (NO bridge),8,cam->cam.camParameters.basicContainer.referencePosition.altitude.altitudeValue,AltitudeValue_t (long),-100000..800001 (0.01m),N/A — NO BRIDGE EXISTS,N/A,NO BRIDGE,ETSI-ITS-CDD_ReferencePosition.h
CAM (NO bridge),9,cam->...highFrequencyContainer.choice.basicVehicleContainerHighFrequency.heading.headingValue,ITS_Container_HeadingValue_t (long),0-3600 (0.1 deg) 3601=unavail,N/A — NO BRIDGE EXISTS,N/A,NO BRIDGE,cam_application.cpp:276+512
